#  Loudoun County, Virginia October Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
190010,59.0,3.9
190110,53.6,-1.5
190210,56.0,0.9
190310,55.1,0.0
190410,52.4,-2.7
190510,55.1,0.0
190610,53.8,-1.3
190710,49.8,-5.3
190810,56.0,0.9
190910,50.5,-4.6
191010,58.0,2.9
191110,54.7,-0.4
191210,56.1,1.0
191310,56.4,1.3
191410,58.3,3.2
191510,56.3,1.2
191610,53.8,-1.3
191710,48.4,-6.7
191810,57.6,2.5
191910,60.8,5.7
192010,59.8,4.7
192110,55.4,0.3
192210,57.5,2.4
192310,53.3,-1.8
192410,56.0,0.9
192510,49.2,-5.9
192610,53.8,-1.3
192710,58.3,3.2
192810,56.2,1.1
192910,52.9,-2.2
193010,53.4,-1.7
193110,58.1,3.0
193210,54.6,-0.5
193310,53.9,-1.2
193410,54.2,-0.9
193510,55.2,0.1
193610,57.0,1.9
193710,52.2,-2.9
193810,56.0,0.9
193910,56.0,0.9
194010,52.7,-2.4
194110,61.5,6.4
194210,56.4,1.3
194310,53.4,-1.7
194410,53.8,-1.3
194510,54.0,-1.1
194610,58.0,2.9
194710,60.9,5.8
194810,52.8,-2.3
194910,59.6,4.5
195010,56.2,1.1
195110,57.4,2.3
195210,51.6,-3.5
195310,57.2,2.1
195410,57.8,2.7
195510,55.6,0.5
195610,56.0,0.9
195710,51.2,-3.9
195810,54.8,-0.3
195910,57.7,2.6
196010,54.6,-0.5
196110,56.3,1.2
196210,56.5,1.4
196310,58.5,3.4
196410,51.2,-3.9
196510,52.6,-2.5
196610,52.2,-2.9
196710,53.0,-2.1
196810,56.1,1.0
196910,53.8,-1.3
197010,57.3,2.2
197110,60.0,4.9
197210,51.1,-4.0
197310,56.8,1.7
197410,52.3,-2.8
197510,57.7,2.6
197610,49.9,-5.2
197710,52.5,-2.6
197810,53.2,-1.9
197910,53.4,-1.7
198010,53.5,-1.6
198110,51.6,-3.5
198210,55.1,0.0
198310,54.8,-0.3
198410,60.8,5.7
198510,57.2,2.1
198610,57.0,1.9
198710,50.1,-5.0
198810,50.1,-5.0
198910,56.3,1.2
199010,58.2,3.1
199110,56.3,1.2
199210,52.2,-2.9
199310,53.4,-1.7
199410,53.4,-1.7
199510,57.7,2.6
199610,55.2,0.1
199710,54.7,-0.4
199810,56.2,1.1
199910,52.8,-2.3
200010,57.1,2.0
200110,55.4,0.3
200210,54.4,-0.7
200310,53.2,-1.9
200410,54.8,-0.3
200510,57.6,2.5
200610,53.6,-1.5
200710,62.1,7.0
200810,53.6,-1.5
200910,53.8,-1.3
201010,57.1,2.0
201110,54.3,-0.8
201210,55.6,0.5
201310,56.6,1.5
201410,56.9,1.8
201510,54.4,-0.7
201610,58.4,3.3
201710,60.2,5.1
201810,58.2,3.1
201910,59.2,4.1
202010,57.9,2.8
202110,62.0,6.9
202210,53.7,-1.4
202310,58.9,3.8
202410,57.7,2.6
